awards                  , budget         , casting                                                                                                                                                                                                                             , categories                         , country                                       , distributor                            , duration, image_url                                                                             , movie_number, producer                             , realisator                                    , release_date , synospis                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , title                                         , trailer_url                                            , trailer_views, year
5 prix et 12 nominations, 115 000 000 USD, "George Lucas,Hayden Christensen,Ewan McGregor,Natalie Portman,Ian McDiarmid,Samuel L. Jackson,Christopher Lee,Anthony Daniels,Kenny Baker,James Earl Jones,Frank Oz,Matthew Wood,Roger Carel"                                      , "Action,Aventure,Science Fiction"  , U.S.A.                                        , The Walt Disney Company France         ,      140, https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/35/53/23/18423997.jpg        ,        40623, George Lucas                         , George Lucas                                  , 17 mai 2005  , "La Guerre des Clones fait rage. Une franche hostilité oppose désormais le Chancelier Palpatine au Conseil Jedi. Anakin Skywalker, jeune Chevalier Jedi pris entre deux feux, hésite sur la conduite à tenir. Séduit par la promesse d'un pouvoir sans précédent, tenté par le côté obscur de la Force, il prête allégeance au maléfique Darth Sidious et devient Dark Vador."                                                                                                                                                                                                                                                                                                                                                                                    , Star Wars : Episode III - La Revanche des Sith, /video/player_gen_cmedia=19352325&cfilm=40623.html     ,        385980, 2005
                        , -              , "Mourad Winter,Hakim Jemili,Laura Felpin,Benjamin Tranié,Alassane Diong,Steve Tientcheu,François Damiens,Saïda Jawad,Abdulah Sissoko"                                                                                               , "Comédie,Romance"                  , France                                        , StudioCanal                            ,       98, https://fr.web.img5.acsta.net/c_310_420/img/f7/ab/f7ab00e30a61ebb9e441a458f5305e6b.jpg,       314778, Mourad Winter                        , Mourad Winter                                 , 23 avril 2025, "Diagnostiqué “nul avec les meufs” depuis son plus jeune âge, Anis mène une existence charnelle placée sous le signe du calme plat. Trois ans jour pour jour après la perte d’Isma, son meilleur ami et mentor, il prend son courage à deux mains et se décide enfin à sortir faire de nouvelles rencontres. Sauf qu’en abordant Madeleine, Anis ignore que débute une grande aventure. Un truc inattendu. Un truc qui s'appelle “l’amour”."                                                                                                                                                                                                                                                                                                                      , L'Amour c'est surcoté                         , /video/player_gen_cmedia=20617773&cfilm=314778.html    ,        126533, 2024
                        , -              , "Elsa Bennett,Hippolyte Dard,Valérie Bonneton,Michèle Laroque,Sabrina Ouazani,Clovis Cornillac,Sophie Leboutte,Myriem Akheddiou,Laurence Cottet,Manuel Ginion"                                                                      , Comédie dramatique                 , " France, Belgique"                           , Wild Bunch Distribution                ,      104, https://fr.web.img3.acsta.net/c_310_420/img/d1/cf/d1cfdc2720ff648e8b93971dd7551732.jpg,       323124, "Elsa Bennett,Hippolyte Dard"        , "Elsa Bennett,Hippolyte Dard"                 , 23 avril 2025, "A la suite d’un accident de voiture, Suzanne perd la garde de ses trois enfants. Elle n’a plus le choix et doit se soigner dans un centre pour alcooliques. A peine arrivée, elle y rencontre Alice et Diane, deux femmes au caractère bien trempé… Denis, éducateur sportif, va tenter de les réunir autour du même objectif : participer au rallye des Dunes dans le désert marocain. Il devra s’armer de beaucoup de patience et de pédagogie pour préparer cet improbable équipage à atteindre son objectif."                                                                                                                                                                                                                                                , Des jours meilleurs                           , /video/player_gen_cmedia=20615575&cfilm=323124.html    ,         28926, 2025
                        , -              , "Christopher Andrews,Christopher Abbott,Barry Keoghan,Colm Meaney,Paul Ready,Nora-Jane Noone,Susan Lynch (I),Aaron Heffernan,Diarmuid de Faoite"                                                                                    , Thriller                           , " Grande-Bretagne, Irlande, Belgique"         , New Story                              ,      106, https://fr.web.img6.acsta.net/c_310_420/img/3a/ed/3aede2893502b22ce9e51d233c4dc891.jpg,       290838, Christopher Andrews                  , Christopher Andrews                           , 23 avril 2025, "Un berger irlandais est entraîné dans un conflit violent avec une ferme voisine, lorsque ses moutons sont attaqués par des inconnus..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , Le Clan des bêtes                             , /video/player_gen_cmedia=20617119&cfilm=290838.html    ,         66383, 2024
                        , -              , "Montxo Armendariz,Patxi Bisquert,Jose Maria Asin,Paco Sagarzazu,Amaia Lasa,Isidro Jose Solano,Garikoitz Mendigutxia"                                                                                                               , Comédie dramatique                 , Espagne                                       , Tamasa Distribution                    ,       96, https://fr.web.img6.acsta.net/c_310_420/img/97/21/9721354bdf79b573e06e8f8fd1bc3c75.jpg,         1680, Montxo Armendariz                    , Montxo Armendariz                             , 16 avril 1986, "Tasio est né dans un hameau aux pieds de la chaîne de montagnes d'Urbasa. Sa vie dans la montagne où il devient charbonnier dès l'âge de quatorze ans et, pour subvenir aux besoins de sa petite famille, braconnier quelques années plus tard."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , Tasio                                         , /video/player_gen_cmedia=20602782&cfilm=1680.html      ,           790, 1984
2 nominations           , -              , "Ryan J. Sloan,Marcia DeBonis,Ariella Mastroianni,Renee Gagner,Jack Alberts,Tommy Kang,Emma Pearson,Marianne Goodell,Grant Schumacher"                                                                                              , Thriller                           , U.S.A.                                        , UFO Distribution                       ,      114, https://fr.web.img6.acsta.net/c_310_420/img/6d/0f/6d0fae94c71bf70433ea153fc00f5c84.jpg,   1000001275, "Ryan J. Sloan,Ariella Mastroianni"  , Ryan J. Sloan                                 , 23 avril 2025, "Frankie est atteinte d'une maladie dégénérative qui l’empêche de se repérer le temps. Encline à la paranoïa et sujette à des pertes de consciences fréquentes, elle enregistre des messages sur des cassettes pour se repérer et assurer sa sécurité. Incapable de trouver un travail stable dans son état, en quête d’argent pour récupérer la garde de sa petite fille, elle accepte une mission proposée par une femme aux intentions troubles…"                                                                                                                                                                                                                                                                                                              , The Gazer                                     , /video/player_gen_cmedia=20617716&cfilm=1000001275.html,         68831, 2024
                        , -              ,                                                                                                                                                                                                                                     , Documentaire                       , France                                        , Les Films de la Main Heureuse          ,      105, https://fr.web.img4.acsta.net/c_310_420/img/c2/54/c254eb4b7da4f62d7f4d9cc05f7629f7.jpg,   1000018450,                                      , Grégory Morin                                 , 23 avril 2025, "Christophe, dresseur de chevaux difficiles, rêve de l'Ouest et de ses cow-boys. Sélectionné par un concours allemand prestigieux, son souhait se réalise : il va aller dans un ranch américain, pour y choisir un Mustang sauvage et le dresser en un temps record."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Un Pas de Côté                                , /video/player_gen_cmedia=20614969&cfilm=1000018450.html,          1315, 2025
                        , -              , "Sundar C.,Catherine Tresa,Bagavathi Perumal,Sundar C.,Vadivelu,Vani Bhojan"                                                                                                                                                        , Comédie                            , Inde                                          , Night ed films                         ,      150, https://fr.web.img2.acsta.net/c_310_420/img/68/6b/686b992022c5e9dea2a23c2332b7b9bb.jpg,   1000022313, "Sundar C.,Venkat Raghavan"          , Sundar C.                                     , 24 avril 2025, "Saravanan et Singaram, deux professeurs d’EPS, se retrouvent embarqués dans une mission complètement folle : dérober 100 crores de roupies indiennes (environ 10 milliards de roupies) à un ministre corrompu."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , Gangers                                       , /video/player_gen_cmedia=20619223&cfilm=1000022313.html,            47, 2024
                        , -              ,                                                                                                                                                                                                                                     , Documentaire                       , France                                        , Wayna Pitch                            ,       91, https://fr.web.img5.acsta.net/c_310_420/img/a4/89/a4895d96fb0d40eaaa2a5aef68774cf7.jpg,   1000015374, Thomas Hug de Larauze                , "Thomas Hug de Larauze,Laurène Hug de Larauze", 23 avril 2025, "Laurène, 22 ans, laisse derrière elle l’image d’une soif de vie débordante malgré la maladie, ainsi que des dizaines d’heures de vidéos qu’elle avait tournées pour partager son histoire. Personne n'a jamais vu ses images et ils s'étaient promis d’en faire un film avec son frère jumeau. Sur les traces de sa sœur, Thomas décide alors d'interroger sa mémoire, celle de sa famille et de réaliser sa promesse."                                                                                                                                                                                                                                                                                                                                          , Promesse                                      , /video/player_gen_cmedia=20618305&cfilm=1000015374.html,         11168, 2025
                        , -              , "Asier Urbieta,Jone Laspiur,Itziar Ituño,Josean Bengoetxea,Jon Olivares,Aia Kruse,Sambou Diaby,Ibrahima Kone,Rodonny Perriere"                                                                                                      , Policier                           , Espagne                                       , -                                      ,       98, https://fr.web.img4.acsta.net/c_310_420/img/7d/cf/7dcf27805204e1b843594bb13d6c6ecc.jpg,       327140, "Asier Urbieta,Andoni de Carlos"     , Asier Urbieta                                 , 23 avril 2025, "L'apparition d'un cadavre sur l'île des Faisans fait irruption dans la vie de Laida et Sambou, un jeune couple qui vit à la frontière de la Bidassoa."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , L'Île des Faisans                             ,                                                        ,             0, 2024
1 prix et 1 nomination  , -              , "Francesco Costabile,Francesco Gheghi,Barbara Ronchi,Francesco Di Leva,Tecla Insolia,Marco Cicalese,Enrico Borello,Francesco De Lucia,Stefano Valentini"                                                                            , Drame                              , Italie                                        , Damned Distribution                    ,      124, https://fr.web.img5.acsta.net/c_310_420/img/bb/05/bb0579523623d7971f0afe2ccdd26e75.jpg,   1000006076, "Francesco Costabile,Vittorio Moroni", Francesco Costabile                           , 23 avril 2025, "Rome, début des années 2000. Licia élève seule ses fils Gigi et Alessandro, suite à une mesure d’éloignement de Franco, leur père dont la violence a marqué leur enfance. Gigi grandit en trouvant refuge auprès d’un groupe néofasciste et reproduit peu à peu le schéma paternel. Après dix ans d'absence, Franco réapparaît, bien décidé à retrouver sa place au sein de ce qu'il considère comme son foyer."                                                                                                                                                                                                                                                                                                                                                 , Familia                                       , /video/player_gen_cmedia=20616909&cfilm=1000006076.html,         46560, 2024
                        , -              , "Isabelle Julien,Serge Denoncourt,David Ban,Christophe Héraut,Eyma ,Grégory Deck,Sarah Caillibot,Laure Giordano,Maddy Joy,Cédric Pelzman"                                                                                           , "Drame,Historique,Comédie musicale", France                                        , Pathé Live                             ,      105, https://fr.web.img3.acsta.net/c_310_420/img/15/59/155922e973a5e941be0009731de5a02c.jpg,   1000016931,                                      , "Isabelle Julien,Serge Denoncourt"            , 24 avril 2025, "Lourdes, 11 février 1858. Bernadette Soubirous, tout juste âgée de 14 ans, se rend près de la grotte de Massabielle, sur les berges du Gave. C’est là que lui apparaît pour la première fois une « dame habillée de blanc ». Accusée de mentir, Bernadette provoque d’abord la méfiance, des tensions familiales, et s’attire les foudres des autorités civiles et ecclésiastiques. La rumeur se répand. Les pèlerins commencent à affluer. Lourdes entre dans l’Histoire.  "                                                                                                                                                                                                                                                                                    , Bernadette de Lourdes : le spectacle au cinéma, /video/player_gen_cmedia=20616697&cfilm=1000016931.html,          2137, 2025
                        , -              ,                                                                                                                                                                                                                                     , Documentaire                       , France                                        , Émotions Distribution                  ,       93, https://fr.web.img5.acsta.net/c_310_420/img/3b/49/3b49d4b9ba1cb3d746626535a2c75900.jpg,   1000019623, Alexis Righetti                      , Alexis Righetti                               , 23 avril 2025, "Alexis Righetti et quatre de ses coéquipiers sont partis pendant un mois en autonomie complète dans la cordillère des Andes, afin de tenter d’emmener leur VTT le plus haut possible sur la planète. À plus de 6 000 mètres, les conditions météorologiques sont extrêmes ; ils n'avaient ni assistance, ni oxygène… Une aventure folle aux paysages extraordinaires, faite de descentes vertigineuses et de l’ascension de certains des plus beaux sommets du monde."                                                                                                                                                                                                                                                                                           , Copiapó                                       , /video/player_gen_cmedia=20616021&cfilm=1000019623.html,           826, 2023
                        , -              , "Christopher Landon,Meghann Fahy,Brandon Sklenar,Violett Beane,Reed Diamond,Gabrielle Ryan,Jeffery Self,Ed Weeks,Sarah McCormack"                                                                                                   , Thriller                           , U.S.A.                                        , Universal Pictures International France,      100, https://fr.web.img2.acsta.net/c_310_420/img/5c/8e/5c8ec5a9812aabbb21c9710de1427983.jpg,       327242, "Jillian Jacobs,Chris Roach"         , Christopher Landon                            , 23 avril 2025, "Violet, une jeune veuve qui pour son premier rendez-vous depuis des années, se rend dans un restaurant très chic où celui qu’elle doit y retrouver, Henry, est encore plus charmant que séduisant. Mais leur alchimie naissante va vite être gâchée quand Violet se voit harcelée puis terrorisée par une série de messages anonymes sur son téléphone. Contrainte au silence, elle doit suivre les instructions qu’elle reçoit, sous peine que la silhouette encapuchonnée des caméras de sécurité de sa propre maison ne tue son jeune fils gardé par sa tante, la sœur de Violet. Si elle ne fait pas exactement ce qui lui est ordonné, ceux qu'elle aime le plus mourront."                                                                                 , Drop Game                                     , /video/player_gen_cmedia=20615204&cfilm=327242.html    ,         10839, 2025
                        , -              , "Sivaprasad,Basil Joseph,Tovino Thomas,Anishma Anilkumar,Pooja Mohanraj,Joemon Jyothir,Babu Antony"                                                                                                                                 , Comédie                            , Inde                                          , Friday Entertainment                   ,      140, https://fr.web.img5.acsta.net/c_310_420/img/c9/a2/c9a2c271c56e8af5f5396b9bb65afbce.jpg,   1000020809, Sivaprasad                           , Sivaprasad                                    , 24 avril 2025, "L'histoire d’un tueur en série, digne héritier de ""Ripper Chandran"", qui sème la terreur dans une ville. Mais contre toute attente, le tueur, sa cible, une jeune femme, son amoureux et d’autres passagers se retrouvent à bord d’un bus de nuit... Ce huis clos va donner lieu à une série d’événements aussi tendus qu’inattendus, jusqu’à un final unique, plein de rebondissements."                                                                                                                                                                                                                                                                                                                                                                      , Marana Mass                                   ,                                                        ,             0, 2025
                        , -              , "Federica Lombardi,Elizabeth Bishop,Joshua Hopkins,Michael Sumuel,Maurizio Muraro"                                                                                                                                                  , Opéra                              , U.S.A.                                        , Pathé Live                             ,      235, https://fr.web.img3.acsta.net/c_310_420/pictures/24/03/22/17/54/2002186.jpg           ,       328532,                                      ,                                               , 26 avril 2025, "Le valet Figaro et Susanna, la chambière de la comtesse préparent leurs noces. Le comte Almaviva entend bien profiter de son droit de cuissage, ce qui n’enchante guère Figaro. Quant à la comtesse, elle est courtisée par le jeune et romantique Cherubino… Figaro a plus d’un tour dans son sac pour remettre de l’ordre dans ce charivari !"                                                                                                                                                                                                                                                                                                                                                                                                                 , The Metropolitan Opera : Les Noces de Figaro  ,                                                        ,             0, 2025
