France_first_week,US_first_week,actors,awards,budget,categories,country,critics_rating,distributor,duration,movie_number,production_year,realisator_de,release_date,scenario_par,title,trailer_views
184052,,"(['Fabrice Luchini', 'Julia Piaton', 'Gavril Dartevelle'],)",,-,"(['Aventure'],)", France,"2,6", SND ,98,324431,2024,"(['Barbara Schulz'],)",5 mars 2025,"Barbara Schulz,Christophe Turpin",Le Secret de Khéops,216108
128314,,"(['Valeria Bruni Tedeschi', 'Pio Marmaï', 'Vimala Pons'],)",,-,"(['Drame'],)"," France, Belgique","4,0", Diaphana Distribution ,105,313781,2024,"(['Carine Tardieu'],)",19 février 2025,"Carine Tardieu,Raphaële Moussafir",L’Attachement,464923
413052,19002852,"(['Robert Pattinson', 'Naomi Ackie', 'Steven Yeun'],)",,-,"(['Action', 'Comédie', 'Science Fiction'],)", U.S.A.,"3,6", Warner Bros. France ,137,300207,2024,"(['Bong Joon Ho'],)",5 mars 2025,Bong Joon Ho,Mickey 17,198428
